seg_start_s,drift_deg
10.000000,42.158062
20.000000,32.627932
30.000000,40.075948
40.000000,29.584125
50.000000,44.102449
60.000000,43.708118
70.000000,43.203833
80.000000,43.740673
90.000000,42.654002
100.000000,45.197815
110.000000,43.773389
120.000000,40.064029
130.000000,38.594551
